name,year,genre
The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama, Fantasy"
TRON: Legacy,2010,"Adventure, Action, Science Fiction"
Limitless,2011,"Thriller, Mystery, Science Fiction"
The Fifth Element,1997,"Science Fiction, Action, Adventure"
Groundhog Day,1993,"Romance, Fantasy, Comedy"
Training Day,2001,"Action, Crime, Drama"
They Live,1988,"Science Fiction, Action, Thriller"
The Five People You Meet In Heaven,2004,"Drama, Fantasy, Science Fiction, TV Movie"
Demolition Man,1993,"Crime, Action, Science Fiction"
Lucy,2014,"Action, Science Fiction"
I Origins,2014,"Science Fiction, Drama"
In Time,2011,"Action, Thriller, Science Fiction"
Iron Man,2008,"Action, Science Fiction, Adventure"
Mad Max,1979,"Adventure, Action, Thriller, Science Fiction"
Hummingbird,2013,"Action, Thriller"
Mr. Nobody,2009,"Science Fiction, Drama, Romance"
The Great Gatsby,2013,"Drama, Romance"
Revolver,2005,"Drama, Thriller, Crime, Mystery"
Ponyo,2008,"Animation, Fantasy, Family"
Unbreakable,2000,"Thriller, Drama, Mystery"
GoodFellas,1990,"Drama, Crime"
Boyz n the Hood,1991,"Crime, Drama"
Beetlejuice,1988,"Fantasy, Comedy"
The Holy Mountain,1973,Drama
They Cloned Tyrone,2023,"Comedy, Science Fiction, Mystery"
Wanted,2008,"Action, Thriller, Crime"
Rango,2011,"Animation, Comedy, Family, Western, Adventure"
Soul,2020,"Animation, Family, Comedy, Fantasy, Drama, Music"
Cars,2006,"Animation, Adventure, Comedy, Family"
The Wolf of Wall Street,2013,"Crime, Drama, Comedy"
Life of Pi,2012,"Adventure, Drama"
Everything Everywhere All at Once,2022,"Action, Adventure, Science Fiction"
Transformers: Dark of the Moon,2011,"Action, Science Fiction, Adventure"
The Matrix,1999,"Action, Science Fiction"
The Silence of the Lambs,1991,"Crime, Thriller, Drama"
The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller"
Enter the Void,2009,"Fantasy, Drama"
50/50,2011,"Comedy, Drama"
About Time,2013,"Drama, Romance, Fantasy"
Birdman or (The Unexpected Virtue of Ignorance),2014,"Drama, Comedy"
Free Guy,2021,"Comedy, Adventure, Science Fiction"
Ready Player One,2018,"Adventure, Action, Science Fiction"
The Usual Suspects,1995,"Drama, Crime, Thriller"
Peaceful Warrior,2006,Drama
What Dreams May Come,1998,"Drama, Fantasy, Romance"
Uncle Buck,1989,"Comedy, Drama, Family"
The Wizard of Oz,1939,"Adventure, Fantasy, Family"
American Psycho,2000,"Thriller, Drama, Crime"
Slacker,1990,"Drama, Comedy"
Waking Life,2001,"Animation, Drama, Fantasy"
Joker,2019,"Crime, Thriller, Drama"
Into the Wild,2007,"Adventure, Drama"
Akira,1988,"Animation, Science Fiction, Action"
Ghost in the Shell,1995,"Action, Animation, Science Fiction"
Source Code,2011,"Thriller, Science Fiction, Mystery"
Little Buddha,1993,"Drama, History"
Doctor Strange,2016,"Fantasy, Adventure, Action"
Deep Cover,1992,"Action, Thriller, Crime"
Close Encounters of the Third Kind,1977,"Science Fiction, Drama"
Videodrome,1983,"Horror, Science Fiction, Mystery"
The Adventures of Tintin,2011,"Adventure, Animation, Mystery"
In Full Bloom,2019,"Action, Drama"
The Sting,1973,"Comedy, Crime, Drama"
Avatar,2009,"Action, Adventure, Fantasy, Science Fiction"
The Boys from Brazil,1978,"Drama, Mystery, Science Fiction"
Fallen Angels,1995,"Action, Romance, Crime"
The Illusionist,2006,"Fantasy, Drama, Thriller, Romance"
Casino,1995,"Crime, Drama"
Bonnie and Clyde,1967,"Crime, Drama"
Donnie Brasco,1997,"Crime, Drama, Thriller"
My Life as a Zucchini,2016,"Animation, Comedy, Drama"
1917,2019,"War, History, Drama, Action"
Zootopia,2016,"Animation, Adventure, Family, Comedy"
Gotti,1996,"Crime, Drama, TV Movie"
Jackie Brown,1997,"Crime, Drama, Thriller"
The Man from Earth,2007,"Science Fiction, Drama"
The Holdovers,2023,"Comedy, Drama"
Wild Tales,2014,"Drama, Thriller, Comedy"
Mars Express,2023,"Animation, Science Fiction, Action, Mystery"
Transformers One,2024,"Animation, Science Fiction, Adventure, Family"
Perfect Days,2023,Drama
Good Will Hunting,1997,Drama
Dead Poets Society,1989,Drama
Matilda,1996,"Comedy, Family, Fantasy"
The Big Lebowski,1998,"Comedy, Crime"
Up,2009,"Animation, Comedy, Family, Adventure"
Parasite,2019,"Comedy, Thriller, Drama"
The Truman Show,1998,"Comedy, Drama"
A Beautiful Mind,2001,"Drama, Romance"
Catch Me If You Can,2002,"Drama, Crime"
Ratatouille,2007,"Animation, Comedy, Family, Fantasy"
Stand by Me,1986,"Crime, Drama"
Fight Club,1999,"Drama, Thriller"
American Beauty,1999,Drama
GoldenEye,1995,"Adventure, Action, Thriller"
The Perks of Being a Wallflower,2012,Drama
Amélie,2001,"Comedy, Romance"
Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction"
The Shawshank Redemption,1994,"Drama, Crime"
V for Vendetta,2005,"Action, Thriller, Science Fiction"
The Worst Person in the World,2021,"Drama, Romance, Comedy"
Half Baked,1998,"Comedy, Crime"
Past Lives,2023,"Drama, Romance"
Alice in Wonderland,1951,"Animation, Family, Fantasy, Adventure"
Bambi,1942,"Animation, Drama, Family"
Love Jones,1997,"Comedy, Drama, Romance"
In the Mood for Love,2000,"Drama, Romance"
Taxi Driver,1976,"Crime, Drama"
Jacob's Ladder,1990,"Drama, Mystery, Horror"
Requiem for a Dream,2000,"Crime, Drama"
The Banker,2020,Drama
Paid in Full,2002,"Action, Crime, Drama"
New Jack City,1991,"Thriller, Crime, Drama"
Coach Carter,2005,"Drama, History"
Fresh,1994,"Crime, Drama, Thriller"
Menace II Society,1993,"Drama, Crime, Thriller"
Ghost,1990,"Fantasy, Drama, Thriller, Mystery, Romance"
Jason's Lyric,1994,"Crime, Drama, Romance"
Dead Presidents,1995,"Action, Crime, Drama, Thriller, War"
The Players Club,1998,"Comedy, Drama"
Antwone Fisher,2002,"Drama, History, Romance"
The Big Country,1958,"Drama, Western, Romance"
Cinderella,1950,"Family, Fantasy, Animation, Romance"
Pinocchio,1940,"Animation, Family, Fantasy"
The Five-Year Engagement,2012,"Comedy, Romance"
